产品名称,pid,全局组件,普通组件,普通组件数目,备注,连接协议,支持的桥协议
公开产品（无公开组件）,1,,,,,不连接,
公开产品（无公开组件）,2,,,,,不连接,
公开产品（无公开组件）,3,,,,,不连接,
公开产品（网关）,14336,"基础组件,wifi组件,以太网组件,米家组件,美的组件,海尔组件",网关,1,,直连,mesh协议
公开产品（网关）,14337,"基础组件,wifi组件,以太网组件,米家组件,美的组件,海尔组件",网关,1,,直连,mesh协议
公开产品（亮度灯）,133121,"基础组件,mesh组件",亮度灯,1,,mesh协议,
公开产品（亮度灯）,133122,"基础组件,mesh组件",亮度灯,,,mesh协议,
公开产品（亮度灯）,133123,"基础组件,mesh组件",亮度灯,,,mesh协议,
公开产品（亮度灯）,133124,"基础组件,mesh组件,遥控器管理组件",亮度灯,,,mesh协议,
公开产品（亮度灯）,133125,"基础组件,mesh组件",亮度灯,,,mesh协议,
公开产品（亮度灯）,133126,"基础组件,mesh组件",亮度灯,,,mesh协议,
公开产品（色温灯）,196608,"基础组件,mesh组件",色温灯,,,mesh协议,
公开产品（色温灯）,196609,"基础组件,mesh组件",色温灯,,,mesh协议,
公开产品（色温灯）,196610,"基础组件,mesh组件",色温灯,,,mesh协议,
公开产品（色温灯）,196611,"基础组件,mesh组件",色温灯,,,mesh协议,
公开产品（色温灯）,196612,"基础组件,mesh组件",色温灯,,,mesh协议,
公开产品（色温灯）,196613,"基础组件,mesh组件",色温灯,,,mesh协议,
公开产品（色温灯）,196614,"基础组件,mesh组件",色温灯,,,mesh协议,
公开产品（色温灯）,196615,"基础组件,mesh组件",色温灯,,,mesh协议,
公开产品（色温灯）,198656,"基础组件,mesh组件",色温灯,,,mesh协议,
公开产品（色温灯）,198657,"基础组件,mesh组件",色温灯,,,mesh协议,
公开产品（色温灯）,198658,"基础组件,mesh组件",色温灯,,,mesh协议,
公开产品（色温灯）,198659,"基础组件,mesh组件",色温灯,,,mesh协议,
公开产品（色温灯）,198660,"基础组件,mesh组件",色温灯,,,mesh协议,
公开产品（色温灯）,198661,"基础组件,mesh组件",色温灯,,,mesh协议,
公开产品（色温灯）,198662,"基础组件,mesh组件",色温灯,,,mesh协议,
公开产品（色温灯）,198665,"基础组件,mesh组件",色温灯,,,mesh协议,
公开产品（色温灯）,198666,"基础组件,mesh组件",色温灯,,,mesh协议,
公开产品（色温灯）,198669,"基础组件,mesh组件",色温灯,,,mesh协议,
公开产品（色温灯）,198670,"基础组件,mesh组件",色温灯,,,mesh协议,
公开产品（色温灯）,198671,"基础组件,mesh组件",色温灯,,,mesh协议,
公开产品（色温灯）,198672,"基础组件,mesh组件,遥控器管理组件",色温灯,,,mesh协议,
公开产品（色温灯）,198673,"基础组件,mesh组件",色温灯,,,mesh协议,
公开产品（色温灯）,198674,"基础组件,mesh组件,遥控器管理组件",色温灯,,,mesh协议,
公开产品（色温灯）,198675,"基础组件,mesh组件",色温灯,,,matter协议,
公开产品（彩光灯）,262146,"基础组件,mesh组件",彩光灯,,,mesh协议,
公开产品（彩光灯）,264193,"基础组件,mesh组件",彩光灯,,,mesh协议,
公开产品（彩光灯）,264194,"基础组件,mesh组件",彩光灯,,,mesh协议,
公开产品（彩光灯）,264195,"基础组件,mesh组件",彩光灯,,,mesh协议,
公开产品（彩光灯）,264196,"基础组件,mesh组件",彩光灯,,,mesh协议,
公开产品（无公开组件）,270336,,,,,不连接,
公开产品（窗帘）,395264,"基础组件,mesh组件",窗帘,1,,mesh协议,
公开产品（窗帘）,395265,"基础组件,mesh组件",窗帘,,,mesh协议,
公开产品（窗帘）,395266,"基础组件,mesh组件",窗帘,,,,
公开产品（窗帘）,395267,"基础组件,mesh组件",窗帘,,,,
公开产品（开关）,460800,"基础组件,mesh组件,双路继电器组件",开关,2,,mesh协议,
公开产品（开关）,460801,"基础组件,mesh组件,双路继电器组件",开关,2,,,
公开产品（开关）,460802,"基础组件,mesh组件,虚拟开关组件（全局）",开关,2,,mesh协议,
公开产品（未定义子设备）,657408,"基础组件,mesh组件,HVAC网关",未定义子设备,动态,,mesh协议,
公开产品（无线开关通道）,854017,"基础组件,mesh组件,背光指示灯组件",无线开关通道,1,,mesh协议,
公开产品（无线开关通道）,854018,"基础组件,mesh组件,背光指示灯组件",无线开关通道,2,,mesh协议,
公开产品（无线开关通道）,854019,"基础组件,mesh组件,背光指示灯组件",无线开关通道,3,,mesh协议,
公开产品（无线开关通道）,854020,"基础组件,mesh组件,背光指示灯组件",无线开关通道,1,,mesh协议,
公开产品（无线开关通道）,854021,"基础组件,mesh组件,背光指示灯组件",无线开关通道,2,,mesh协议,
公开产品（无线开关通道）,854022,"基础组件,mesh组件,背光指示灯组件",无线开关通道,3,,mesh协议,
公开产品（无线开关通道）,854024,"基础组件,mesh组件,背光指示灯组件",无线开关通道,3,,mesh协议,
公开产品（无线开关通道）,854025,"基础组件,mesh组件,背光指示灯组件",无线开关通道,2,,mesh协议,
公开产品（无线开关通道）,854026,"基础组件,mesh组件,背光指示灯组件",无线开关通道,1,,mesh协议,
公开产品（未定义子设备）,854027,"基础组件,mesh组件,背光指示灯组件",未定义子设备,动态,,mesh协议,
公开产品（无线开关通道）,854028,"基础组件,mesh组件,单火组件",无线开关通道,1,,mesh协议,
公开产品（无线开关通道）,854029,"基础组件,mesh组件,单火组件",无线开关通道,2,,mesh协议,
公开产品（无线开关通道）,854030,"基础组件,mesh组件,单火组件",无线开关通道,3,,mesh协议,
公开产品（无线开关通道）,854031,"基础组件,mesh组件,背光指示灯组件",无线开关通道,1,,mesh协议,
公开产品（无线开关通道）,854032,"基础组件,mesh组件,背光指示灯组件",无线开关通道,2,,mesh协议,
