属性名称,缩写,全称,数据类型,描述,重置是否需要清除,id,类别,权限,处理方,备注,组件,父记录
p,p,power,bool,开关,,1,应用类,"读, 写",设备,,"开关,开关灯,亮度灯,色温灯,彩光灯,角度色温灯,温控器组件,无色温彩光灯组件,情景按键",
l,l,brightness,int,亮度,,2,应用类,"读, 写",设备,,"亮度灯,色温灯,彩光灯,角度色温灯,无色温彩光灯组件,无线开关通道",
ct,ct,color temperature,int,色温,,3,应用类,"读, 写",设备,,"色温灯,彩光灯,角度色温灯",
c,c,color,int,颜色,,4,应用类,"读, 写",设备,,"彩光灯,无色温彩光灯组件",
m,m,mode,enum,模式（2-色温 1-色彩）,,5,应用类,读,设备,,"彩光灯,情景按键",
bhm,bhm,bath heat mode,enum,浴霸模式（1:干燥 2:除雾 3:快速除雾 4:极速加热 5:其他模式）,,6,应用类,"读, 写",设备,,温控器组件,
alm,alm,alarm,bool,告警（是否被拆）,,8,应用类,读,设备,,接触式传感器,
dc,dc,door closed,bool,是否接触,,9,应用类,读,设备,,接触式传感器,
mv,mv,motion,bool,有人经过,,11,应用类,读,设备,,"人在传感器,人感传感器,光照传感器2,人体红外传感器,dali人感传感器,亮度雷达传感器(可屏蔽区段)",
cp,cp,current position,int,当前开合度,,12,应用类,读,设备,,"窗帘,梦幻帘",
tp,tp,target position,int,目标开合度,,13,应用类,"读, 写",设备,,"窗帘,梦幻帘",
bl,bl,battery level,int,当前电量,,14,应用类,读,设备,原bp改名,电池组件,
bc,bc,battery chargeable,bool,是否可充电,,15,应用类,读,设备,,电池组件,
bcg,bcg,battery charging,bool,电池正在充电,,16,应用类,读,设备,ac供电,电池组件,
do,do,delay off,int,延时关闭（0-120min）,,17,应用类,"读, 写",设备,,温控器组件,
acp,acp,ac power,bool,空调开关,,18,应用类,"读, 写",设备,原acp仍需支持，为兼容原协议,空调,
acm,acm,ac mode,int,空调模式,,19,应用类,"读, 写",设备,,空调,
actt,actt,ac target temperature,int,空调设定目标温度,,20,应用类,"读, 写",设备,,空调,
acf,acf,ac fan,int,空调风速,,21,应用类,"读, 写",设备,,空调,
sp,sp,switch power,bool,开关,,22,应用类,"读, 写",设备,,无线开关通道,
blp,blp,backlight power,bool,背光灯开关,,23,应用类,"读, 写",设备,李劲松_20231017 为与之前保持一致，暂时修改为应用类@齐观毅,"背光指示灯组件,光照传感器2,跑道屏",
acct,acct,ac current temperature,int,空调当前温度,,25,应用类,读,设备,,空调,
aco,aco,ac online,bool,是否在线,,26,应用类,读,设备,,,
acd,acd,ac delay,int,延时开关剩余时间（毫秒）,,27,应用类,读,设备,,空调,
angle,angle,angle,int,光束角,,29,应用类,"读, 写",设备,,角度色温灯,
ebl,ebl,environmental brightness level,int,环境亮度等级,,30,应用类,读,设备,,"环境光传感器,人体红外传感器",
acdfltr,acdfltr,ac deflector,int,空调挡风板角度,,31,应用类,"读, 写",设备,,空调,
acrc,acrc,ac remote controller,int,儿童锁,,32,应用类,"读, 写",设备,,空调,
ve,ve,ventilation,enum,"换气档位：0: 关闭, 1: 低档, 2: 中档, 3: 高档",,33,应用类,"读, 写",设备,,温控器组件,
fa,fa,fan,enum,"风扇档位：0: 关闭, 1: 低档, 2: 中档, 3: 高档",,34,应用类,"读, 写",设备,,温控器组件,
he,he,heat,enum,"加热档位：0: 关闭, 1: 低档, 2: 中档, 3: 高档",,35,应用类,"读, 写",设备,,温控器组件,
t,t,current temperature,int,当前温度,,36,应用类,读,设备,,温控器组件,
tgt,tgt,target temperature,int,目标温度,,37,应用类,"读, 写",设备,,温控器组件,
mppm,mppm,music player play mode,int,音乐播放器播放模式,保留,38,配置类,"读, 写",设备,,音乐组件,
mpmp,mpmp,music player play pause,bool,音乐播放器播放/暂停,保留,39,配置类,"读, 写",设备,,音乐组件,
mpml,mpml,music player music list,bool,音乐播放器歌单ID,保留,40,配置类,"读, 写",设备,,音乐组件,
mpmr,mpmr,music player music rhythm,int,音乐播放器音乐律动,保留,41,配置类,"读, 写",设备,,音乐组件,
vol,vol,volume,int,音量,无需处理,45,应用类,"读, 写",设备,,声音组件,
lc,lc,lan control,int,局域网控制开关,保留,47,配置类,"读, 写",网关,,"网关,wifi屏组件",
li,li,indicator switch,int,指示灯开关,保留,48,配置类,"读, 写",设备,未使用,"环境光传感器,光照传感器2,网关,人体红外传感器,亮度雷达传感器(可屏蔽区段),窗帘,无线开关通道,梦幻帘",
ip,ip,ip,string,ip地址,清除,49,配置类,读,设备,,"wifi组件,以太网组件",
pl,pl,physical link,int,有线/wifi,清除,50,配置类,读,网关,,网关,
lf,lf,up time,int,上电时间,清除,51,配置类,读,网关,,网关,
fm,fm,memory free,int,剩余内存,清除,52,配置类,读,网关,,网关,
ssid,ssid,ssid,string,wifi：id,清除,53,配置类,"读, 写",设备,,wifi组件,
slisaon,slisaon,slisaon,int,是否开启闪断,保留,54,配置类,"读, 写",设备,,"无线开关通道,开关,开关灯,亮度灯,色温灯,彩光灯,角度色温灯,双路继电器组件,mesh屏组件,旋钮屏组件,无色温彩光灯组件",
bp,bp,power on boot,int,上电后状态,保留,55,配置类,"读, 写",设备,,"开关,开关灯,亮度灯,色温灯,彩光灯,角度色温灯,无色温彩光灯组件",
relay,rl,relay,int,是否开启relay,保留,56,配置类,"读, 写",设备,,mesh组件,
dt,dt,,,是否支持手拉,保留,58,配置类,,设备,未使用,窗帘,
pi,pi,,,起点是否设定,保留,59,配置类,,设备,未使用,窗帘,
pe,pe,,,终点是否设定,保留,60,配置类,,设备,未使用,窗帘,
fv,fv,firmware version,int,固件版本号,清除,61,配置类,读,设备,,基础组件,
extend,extend,extend,jsonObj,投射配置,保留,62,配置类,"读, 写",设备,,"wifi屏组件,全景屏组件",
rd,rd,reverse direction,int,电机方向是否反转,保留,63,配置类,"读, 写",设备,,"窗帘,梦幻帘",
dd,dd,default duration,int,默认渐变时长,保留,64,配置类,"读, 写",设备,,"开关灯,亮度灯,色温灯,彩光灯,角度色温灯,无色温彩光灯组件",
showGroupDevices,showGroupDevices,showGroupDevices,boolean,是否显示组内设备,保留,65,配置类,"读, 写",App,,,
eip,eip,external IP,string,外网ip,清除,66,配置类,读,网关,,"wifi组件,以太网组件",
fblck,fblck,reset lock,int,重置锁定开关,保留,67,配置类,"读, 写",设备,,基础组件,
fbnum,fbnum,reset lock num,int,重置次数,保留,68,配置类,"读, 写",设备,,基础组件,
ntOn,ntOn,night mode on,int,是否开启夜间,保留,69,配置类,"读, 写",设备,,"wifi屏组件,旋钮屏组件,mesh屏组件",
ntStart,ntStart,night mode start,int,夜间模式开启时间,保留,70,配置类,"读, 写",设备,,"wifi屏组件,旋钮屏组件,mesh屏组件,声音组件",
ntEnd,ntEnd,night mode end,int,夜间模式结束时间,保留,71,配置类,"读, 写",设备,,"wifi屏组件,旋钮屏组件,mesh屏组件,声音组件",
ntDelay,ntDelay,night mode delay,int,夜间模式延时,保留,72,配置类,"读, 写",设备,,"wifi屏组件,旋钮屏组件,mesh屏组件",
hrbk,hrbk,haier bind key,string,通过海尔智家oauth获取到的用户token,清除,73,配置类,"读, 写",网关,,海尔组件,
hrdm,hrdm,haier domain,string,海尔云平台连接域名,清除,74,配置类,"读, 写",网关,,海尔组件,
hrpt,hrpt,haier port,string,海尔云平台连接端口,清除,75,配置类,"读, 写",网关,,海尔组件,
ch_num,ch_num,channel num,int,组件数目,清除,79,配置类,读,设备,,HVAC网关,
nightMode,nightMode,night mode,jsonObj,夜间模式配置,保留,82,配置类,"读, 写",设备,,"wifi屏组件,背光指示灯组件,跑道屏",
slisaon_rdy,slisaon_rdy,slisaon ready,int,是否支持闪断,保留,84,配置类,读,设备,,"无线开关通道,开关,开关灯,亮度灯,色温灯,彩光灯,角度色温灯,无色温彩光灯组件",
psk,psk,psk,string,wifi密码,清除,85,配置类,写,设备,,wifi组件,
hb_interval,hb_interval,heart beat interval,int,心跳间隔（暂未使用）,清除,86,配置类,读,设备,,mesh组件,
ttl,ttl,time to live,int,time to live（未使用）,清除,87,配置类,读,设备,,mesh组件,
retrans,retrans,retrans num,int,重传次数（未使用）,清除,88,配置类,读,设备,,mesh组件,
tx_power,tx_power,transmit power,int,发射功率,清除,89,配置类,读,设备,,mesh组件,
jen,jen,jog enable,int,是否开启点动,无需处理,90,配置类,"读, 写",设备,,开关,
