组件名称,变量别名,id,可mock组件,品类,组件类型,备注,属性,支持的事件类型
网关,gateway,1,,gateway,1-全局组件,,"fm,lf,pl,li,lc,sonos_mgr,plugins,hk,mfl,io_type",
开关灯,switch light,2,,light,0-普通组件,,"min_level,max_level,level_limit_rdy,p,slisaon,bp,dd,slisaon_rdy,3rdPartySyncBitmask,name,icon,io_type",
亮度灯,brightness light,3,,light,0-普通组件,,"min_level,max_level,level_limit_rdy,p,l,slisaon,bp,dd,slisaon_rdy,3rdPartySyncBitmask,name,icon,io_type",
色温灯,color temperature light,4,,light,0-普通组件,,"min_level,max_level,level_limit_rdy,p,l,slisaon,bp,dd,slisaon_rdy,3rdPartySyncBitmask,name,icon,io_type,ct",
彩光灯,color light,5,,light,0-普通组件,,"p,l,slisaon,bp,dd,slisaon_rdy,3rdPartySyncBitmask,name,icon,io_type,ct,c,m",
人感传感器,human detection sensor,7,,human_sensor,0-普通组件,,"mv,3rdPartySyncBitmask,name,icon,io_type","有人移动,无人移动"
人在传感器,human occupancy sensor,9,,human_sensor,0-普通组件,,"mv,3rdPartySyncBitmask,name,icon,io_type","有人移动,无人移动"
光照传感器2,human illuminance sensor,10,,light_sensor,0-普通组件,,"mv,blp,li,sens_range,lumi_setting,delay_time,name,icon,io_type,3rdPartySyncBitmask",
跑道屏,runway panel,11,,scene_panel,1-全局组件,,"blp,nightMode,weather_hidden,time_hidden,temp_hidden,keys_visible,name,icon,io_type",
窗帘,curtain,12,,curtain,0-普通组件,,"cp,tp,rd,pe,pi,dt,open_type,rs,name,icon,3rdPartySyncBitmask,io_type,run_speed,run_speed_rdy,li",
无线开关通道,wireless switch channel,16,"开关灯,情景按键,无线开关通道",relay_switch,0-普通组件,,"l,sbp,slisaon,slisaon_rdy,mock,name,icon,3rdPartySyncBitmask,io_type,run_speed,run_speed_rdy,li",
旋钮开关,knob switch,17,,knob_switch,0-普通组件,M20旋钮开关,"name,icon,io_type,3rdPartySyncBitmask",旋转
情景按键,scene control button,18,,scene_panel,0-普通组件,,"name,icon,io_type,3rdPartySyncBitmask,p,m,mock",
空调,air conditioner,19,,temp_control,0-普通组件,,"acp,acm,actt,acf,acct,acd,acdfltr,acrc,3rdPartySyncBitmask,name,icon,online",
开关,switch control,20,"开关灯,开关",relay_switch,0-普通组件,,"p,slisaon,bp,slisaon_rdy,3rdPartySyncBitmask,name,icon,mock,io_type,jen,jdef,jtm",
接触式传感器,contact sensor,21,,contact_sensor,0-普通组件,,"alm,dc,3rdPartySyncBitmask,name,icon,io_type","分离,接触,告警,告警恢复正常"
